PlayerId,1,2,3
TBer00,Taylor Bertolet,,
THei00,Taylor Heinicke,,
THil01,Taysom Hill,,
TQui00,Teagan Quitoriano,,
TBri00,Teddy Bridgewater,,
THig00,Tee Higgins,,
TMar01,Terrace Marshall Jr.,Terrace Marshall,
TByn00,Terrell Bynum,,
TMcL00,Terry McLaurin,,
TCol00,Tevin Coleman,,
TBoy00,Tim Boyle,,
TJon01,Tim Jones,,
TPat00,Tim Patrick,,
TBra00,Tom Brady,,
TKen00,Tom Kennedy,,
TDev00,Tommy DeVito,,
TSwe00,Tommy Sweeney,,
TTre00,Tommy Tremble,,
TJon02,Tony Jones,Tony Jones Jr.,
TPol00,Tony Pollard,,
TCar00,Tory Carter,,
TMcS00,Trace McSorley,,
TEti00,Travis Etienne,Travis Etienne Jr.,
THom00,Travis Homer,,
TKel00,Travis Kelce,,
TWil00,Trayveon Williams,,
TNix00,Tre Nixon,,
TTuc00,Tre Tucker,,
TMcK01,Tre' McKitty,,
TSmi00,Tre'Quan Smith,,
TShe00,Trent Sherfield,,
TTay00,Trent Taylor,,
TCan00,Trenton Cannon,,
TIrw00,Trenton Irwin,,
TEbn00,Trestan Ebner,,
TWes00,Trevon Wesco,,
TLaw00,Trevor Lawrence,,
TSie00,Trevor Siemian,,
TLan00,Trey Lance,,
TMcB00,Trey McBride,,
TPal00,Trey Palmer,,
TSer00,Trey Sermon,,
TBur00,Treylon Burks,,
TBen00,Trinity Benson,,
